957990	Abba Sabinou Monasterion	506±0
42347	Karanis	250±49
42678	Karanis	50±49
42296	Karanis	312±0
42655	Karanis	252±0
42775	Karanis	295±0
42686	Karanis	100±99
42584	Karanis	-18±0
42622	Karanis	-50±0
42344	Karanis	163±62
42555	Karanis	-13±0
42920	Karanis	158±0
42706	Karanis	213±12
42833	Karanis	300±24
42674	Karanis	0±25
42150	Karanis	277±0
42301	Karanis	311±0
42385	Karanis	300±24
42133	Karanis	288±12
42634	Karanis	-8±0
42369	Karanis	300±24
42843	Karanis	100±24
42832	Karanis	300±24
42173	Karanis	276±0
42453	Karanis	250±49
42510	Karanis	200±99
42691	Karanis	200±24
42250	Karanis	299±0
42182	Karanis	288±0
42072	Karanis	250±49
42420	Karanis	350±49
42793	Karanis	299±0
42470	Karanis	300±24
42387	Karanis	300±24
42270	Karanis	313±12
42885	Karanis	158±0
42216	Karanis	293±0
42234	Karanis	298±0
42003	Karanis	300±24
42738	Karanis	288±12
42237	Karanis	298±0
42103	Karanis	300±24
42800	Karanis	301±0
42416	Karanis	313±12
42561	Karanis	-13±0
42071	Karanis	213±12
42787	Karanis	267±0
42890	Karanis	158±0
42944	Karanis	158±0
42280	Karanis	302±0
42184	Karanis	289±0
42156	Karanis	250±49
42900	Karanis	158±0
42549	Karanis	-13±0
42919	Karanis	158±0
42447	Karanis	250±49
42733	Karanis	250±49
42282	Karanis	302±0
42112	Karanis	300±24
42118	Karanis	300±24
42266	Karanis	301±0
42325	Karanis	317±0
42779	Karanis	296±0
42659	Karanis	305±0
42642	Karanis	-50±49
42433	Karanis	50±49
42442	Karanis	300±24
42786	Karanis	297±0
42824	Karanis	50±49
42769	Karanis	289±0
42628	Karanis	-15±0
42948	Karanis	158±0
42903	Karanis	158±0
42177	Karanis	285±0
42089	Karanis	250±49
42908	Karanis	151±0
42154	Karanis	280±0
42333	Karanis	300±24
42057	Karanis	96±0
42033	Karanis	215±0
42137	Karanis	285±0
42546	Karanis	-13±0
42170	Karanis	283±0
42174	Karanis	285±0
42186	Karanis	289±0
42411	Karanis	313±12
42312	Karanis	312±0
42230	Karanis	296±0
42848	Karanis	250±49
42320	Karanis	300±24
42835	Karanis	150±24
42309	Karanis	312±0
42952	Karanis	158±0
42086	Karanis	250±49
42249	Karanis	299±0
42651	Karanis	-100±99
42906	Karanis	158±0
42771	Karanis	290±0
42189	Karanis	289±0
42357	Karanis	300±24
42899	Karanis	158±0
42477	Karanis	313±12
42070	Karanis	250±49
42750	Karanis	244±0
42274	Karanis	302±0
42863	Karanis	158±0
42662	Karanis	313±12
42761	Karanis	280±0
42840	Karanis	188±12
42520	Karanis	300±24
42482	Karanis	250±49
42772	Karanis	291±0
42440	Karanis	288±12
42020	Karanis	300±24
42396	Karanis	300±24
42187	Karanis	288±0
42576	Karanis	-37±62
42712	Karanis	250±49
42423	Karanis	288±12
42356	Karanis	288±12
42013	Karanis	300±24
42298	Karanis	309±0
42591	Karanis	0±25
42213	Karanis	293±0
42146	Karanis	288±12
42464	Karanis	250±49
42419	Karanis	350±49
42796	Karanis	300±0
42714	Karanis	200±99
42101	Karanis	300±24
42402	Karanis	300±24
42088	Karanis	250±49
42316	Karanis	313±12
42085	Karanis	250±49
42694	Karanis	200±24
42719	Karanis	250±49
42342	Karanis	300±24
42483	Karanis	300±24
42287	Karanis	303±0
42260	Karanis	300±0
42802	Karanis	302±0
42054	Karanis	250±49
42006	Karanis	350±49
42135	Karanis	277±0
42009	Karanis	300±24
42604	Karanis	35±0
42658	Karanis	304±0
42515	Karanis	-50±49
42914	Karanis	158±0
42275	Karanis	302±0
42335	Karanis	300±24
42300	Karanis	312±0
42341	Karanis	288±12
42682	Karanis	300±24
42478	Karanis	313±12
42136	Karanis	250±49
42040	Karanis	212±0
42203	Karanis	292±0
42083	Karanis	250±49
42032	Karanis	300±24
42200	Karanis	290±0
42080	Karanis	250±49
42431	Karanis	288±12
42195	Karanis	291±0
42810	Karanis	317±0
42798	Karanis	301±0
42537	Karanis	-14±0
42334	Karanis	300±24
42949	Karanis	158±0
42737	Karanis	300±24
42209	Karanis	293±0
42366	Karanis	300±24
42587	Karanis	-17±0
42760	Karanis	250±49
42439	Karanis	288±12
42804	Karanis	302±0
42059	Karanis	50±49
42007	Karanis	350±49
42331	Karanis	250±49
42577	Karanis	-37±62
42459	Karanis	50±49
42619	Karanis	300±24
42938	Karanis	158±0
42931	Karanis	158±0
42308	Karanis	312±0
42220	Karanis	294±0
42923	Karanis	158±0
42791	Karanis	298±0
42261	Karanis	299±0
42192	Karanis	290±0
42141	Karanis	284-
42789	Karanis	298±0
42017	Karanis	250±49
42905	Karanis	158±0
42473	Karanis	300±99
42836	Karanis	150±24
42018	Karanis	300±24
42707	Karanis	250±49
42652	Karanis	-11±0
42679	Karanis	5±0
42388	Karanis	300±24
42891	Karanis	158±0
42689	Karanis	188±0
42640	Karanis	-53±0
42046	Karanis	250±49
42847	Karanis	288±12
42581	Karanis	-19±0
42418	Karanis	350±49
42362	Karanis	300±24
42012	Karanis	300±24
42695	Karanis	200±24
42076	Karanis	213±12
42253	Karanis	298±0
42434	Karanis	313±12
42400	Karanis	300±24
42408	Karanis	300±99
42149	Karanis	279±0
42002	Karanis	300±24
42718	Karanis	250±49
42117	Karanis	250±49
42129	Karanis	252±0
42255	Karanis	299±0
42624	Karanis	-22±0
42176	Karanis	297±0
42673	Karanis	-50±49
42202	Karanis	292±0
42517	Karanis	-58±0
42648	Karanis	-100±99
42874	Karanis	158±0
42028	Karanis	300±24
42273	Karanis	302±0
42884	Karanis	158±0
42731	Karanis	300±24
42067	Karanis	250±49
42912	Karanis	158±0
42293	Karanis	305±0
42332	Karanis	288±12
42145	Karanis	288±12
42198	Karanis	291±0
42522	Karanis	0±100
42805	Karanis	303±0
42208	Karanis	293±0
42378	Karanis	300±24
42806	Karanis	312±0
42747	Karanis	288±12
42111	Karanis	300±24
42374	Karanis	300±24
42869	Karanis	158±0
42467	Karanis	300±24
42171	Karanis	285±0
42700	Karanis	250±49
42323	Karanis	316±0
42034	Karanis	187±0
42041	Karanis	213±0
42206	Karanis	292±0
42864	Karanis	158±0
42725	Karanis	213±12
42157	Karanis	250±49
42879	Karanis	158±0
42941	Karanis	158±0
42516	Karanis	-50±49
42217	Karanis	293±0
42029	Karanis	300±24
42412	Karanis	313±12
42933	Karanis	158±0
42144	Karanis	297±0
42126	Karanis	284-
42371	Karanis	300±24
42875	Karanis	158±0
42197	Karanis	291±0
42050	Karanis	213±12
42292	Karanis	306±0
42558	Karanis	-64±0
42074	Karanis	250±49
42407	Karanis	300±99
42094	Karanis	300±24
42794	Karanis	299±0
42268	Karanis	301±0
42830	Karanis	213±12
42104	Karanis	300±24
42926	Karanis	158±0
42934	Karanis	158±0
42303	Karanis	311±0
42037	Karanis	192±0
42336	Karanis	313±12
42352	Karanis	288±12
42839	Karanis	188±12
42077	Karanis	250±49
42895	Karanis	158±0
42380	Karanis	300±24
42765	Karanis	282±0
42365	Karanis	300±24
42472	Karanis	300±24
42564	Karanis	-13±0
42790	Karanis	298±0
42751	Karanis	255±0
42922	Karanis	158±0
42743	Karanis	300±24
42888	Karanis	158±0
42641	Karanis	-53±0
42808	Karanis	313±0
42893	Karanis	158±0
42490	Karanis	295±0
42917	Karanis	158±0
42844	Karanis	150±49
42241	Karanis	299±0
42512	Karanis	-100±99
42697	Karanis	216±0
42036	Karanis	192±0
42223	Karanis	293±0
42471	Karanis	300±24
42603	Karanis	-50±49
42665	Karanis	313±12
42915	Karanis	158±0
42148	Karanis	250±49
42670	Karanis	-50±49
42780	Karanis	296±0
42291	Karanis	304±0
42953	Karanis	158±0
42774	Karanis	293±0
42093	Karanis	288±12
42221	Karanis	294±0
42161	Karanis	275±24
42240	Karanis	299±0
42115	Karanis	313±12
42429	Karanis	300±24
42243	Karanis	299±0
42704	Karanis	250±49
42729	Karanis	300±24
55397	Karanis	345±0
381908	Karanis	168±3
44548	Karanis	326±0
44516	Karanis	300±24
44455	Karanis	289±0
44494	Karanis	175±24
44092	Karanis	80±0
978738	Karanis	188±12
978737	Karanis	188±12
65794	Karanis	-163±162
43671	Karanis	0±100
43220	Karanis	315±0
43197	Karanis	187+
43179	Karanis	300±99
43245	Karanis	200±99
43158	Karanis	200±99
43188	Karanis	88±0
43231	Karanis	200±99
43142	Karanis	200±99
43800	Karanis	26±0
43246	Karanis	250±49
43141	Karanis	150±49
43196	Karanis	204±0
43247	Karanis	200±99
43631	Karanis	0±100
43222	Karanis	348±0
43176	Karanis	-100±99
43178	Karanis	228±6
43224	Karanis	334±0
43180	Karanis	285±10
43121	Karanis	250±49
43145	Karanis	200±99
43221	Karanis	342±0
43232	Karanis	194±0
43146	Karanis	200±99
43801	Karanis	-37±62
43147	Karanis	200±99
43177	Karanis	176±0
43148	Karanis	200±99
43149	Karanis	200±99
43144	Karanis	200±99
43143	Karanis	200±99
43189	Karanis	375±24
45394	Karanis	168±0
45396	Karanis	350±49
45397	Karanis	350±49
45063	Karanis	135±0
45382	Karanis	313±37
45380	Karanis	180±0
45395	Karanis	188±2
45383	Karanis	400±99
45381	Karanis	300±99
45398	Karanis	325±24
45413	Karanis	200±99
14068	Karanis	298±0
14261	Karanis	161±0
14451	Karanis	279±0
14128	Karanis	180±0
14473	Karanis	312±0
14230	Karanis	224±0
14445	Karanis	296±0
14136	Karanis	374±0
14739	Karanis	154±0
14255	Karanis	146±0
14235	Karanis	146±0
14012	Karanis	111±0
14435	Karanis	174±0
14125	Karanis	115±0
14449	Karanis	210±0
14071	Karanis	52±0
14220	Karanis	144±0
14224	Karanis	214±0
14132	Karanis	169±0
14114	Karanis	215±0
14490	Karanis	104±0
14269	Karanis	303±0
14530	Karanis	162±0
14222	Karanis	165±0
14013	Karanis	214±0
14227	Karanis	214±0
14572	Karanis	178±0
14233	Karanis	146±0
14582	Karanis	152±0
14874	Karanis	320±0
14465	Karanis	-20±0
14683	Karanis	100±0
14228	Karanis	214±0
14545	Karanis	377±0
14619	Karanis	214±0
14029	Karanis	173±0
14236	Karanis	146±0
14469	Karanis	301±0
14231	Karanis	163±0
14130	Karanis	218±0
14522	Karanis	237+
14219	Karanis	162±0
14468	Karanis	-8±0
14133	Karanis	152±0
14333	Karanis	170±0
14740	Karanis	89±7
14471	Karanis	293±0
14409	Karanis	195±15
14454	Karanis	234±0
14260	Karanis	147±0
14360	Karanis	147±0
14470	Karanis	285±0
14450	Karanis	279±0
14226	Karanis	214±0
14274	Karanis	302±0
14065	Karanis	293±0
14866	Karanis	160±0
14407	Karanis	169±0
14340	Karanis	237-
14472	Karanis	298±0
14649	Karanis	339±0
14268	Karanis	175±0
14221	Karanis	247±0
14232	Karanis	149±11
14263	Karanis	174±0
14670	Karanis	215±0
14126	Karanis	106±0
14017	Karanis	205±25
14066	Karanis	299±0
14875	Karanis	344±0
14467	Karanis	188±0
14576	Karanis	101±0
14229	Karanis	214±0
14452	Karanis	279±0
14225	Karanis	214±0
14014	Karanis	188±0
14520	Karanis	237+
14234	Karanis	144±0
14635	Karanis	176±0
14074	Karanis	282±0
14466	Karanis	-7±22
14011	Karanis	279±2
14642	Karanis	179+
14456	Karanis	210±0
14223	Karanis	193±0
14073	Karanis	284-
14262	Karanis	168±6
14256	Karanis	147±0
14525	Karanis	90±0
14259	Karanis	147±0
14674	Karanis	145±0
14738	Karanis	271±0
14075	Karanis	284-
15177	Karanis	250±49
15126	Karanis	204±0
15028	Karanis	153+
15064	Karanis	156±0
115581	Karanis	150±49
70017	Karanis	175±24
70015	Karanis	313±12
70016	Karanis	350±49
32734	Karanis	313±12
32930	Karanis	313±12
32799	Karanis	313±12
32747	Karanis	313±12
32804	Karanis	313±12
32730	Karanis	350±49
32928	Karanis	313±12
32933	Karanis	313±12
32738	Karanis	344±0
32732	Karanis	350±49
32927	Karanis	350±49
32800	Karanis	313±12
32890	Karanis	350±49
32742	Karanis	341±0
32801	Karanis	313±12
32745	Karanis	313±12
32803	Karanis	313±12
32735	Karanis	313±12
32740	Karanis	313±12
32739	Karanis	313±12
32731	Karanis	350±49
32894	Karanis	350±49
32744	Karanis	313±12
32805	Karanis	313±12
32932	Karanis	313±12
32888	Karanis	400±99
32737	Karanis	344±0
32929	Karanis	313±12
32931	Karanis	316±0
32925	Karanis	313±12
32736	Karanis	344±0
32746	Karanis	313±12
32926	Karanis	388±12
32741	Karanis	340±0
32733	Karanis	350±49
32743	Karanis	342±0
32934	Karanis	350±49
32802	Karanis	313±12
28254	Karanis	200±99
28023	Karanis	150±49
28804	Karanis	150±49
28016	Karanis	150±49
28542	Karanis	224±0
28103	Karanis	150±49
28807	Karanis	113±12
28802	Karanis	175±24
28019	Karanis	175±24
28245	Karanis	200±99
28806	Karanis	200±24
28536	Karanis	200±99
28819	Karanis	200±99
28806	Karanis	200±24
28534	Karanis	200±99
28199	Karanis	175±24
28081	Karanis	150±49
28224	Karanis	200±99
28808	Karanis	113±12
28077	Karanis	150±49
28805	Karanis	175±24
28816	Karanis	200±99
28227	Karanis	200±99
28053	Karanis	150±49
28803	Karanis	150±24
28621	Karanis	150±49
25512	Karanis	200±199
25611	Karanis	98±0
25323	Karanis	13±12
25145	Karanis	50±49
25140	Karanis	50±49
25322	Karanis	13±12
25147	Karanis	50±49
25142	Karanis	100±99
25138	Karanis	50±49
25139	Karanis	13±12
25522	Karanis	200±199
25141	Karanis	50±49
25143	Karanis	50±49
25515	Karanis	200±199
25144	Karanis	50±49
25146	Karanis	50±49
25324	Karanis	13±12
25658	Karanis	50±24
25608	Karanis	130±0
25908	Karanis	88±12
133362	Karanis	350±49
397532	Karanis	171±0
397531	Karanis	150±49
397534	Karanis	170+
397546	Karanis	200±99
397544	Karanis	164±0
397540	Karanis	186±0
397536	Karanis	130±0
397543	Karanis	200±99
397541	Karanis	150±49
397533	Karanis	170±0
397542	Karanis	150±49
397547	Karanis	350±49
397529	Karanis	148±0
397535	Karanis	150±24
397538	Karanis	148±0
397537	Karanis	148±0
397539	Karanis	157±1
397545	Karanis	150±49
50104	Karanis	-200±99
35456	Karanis	450±49
35470	Karanis	413±12
35147	Karanis	413±12
35470	Karanis	413±12
35470	Karanis	413±12
27287	Karanis	175±24
27122	Karanis	175±24
27124	Karanis	200±99
27481	Karanis	150±49
27483	Karanis	200±99
27290	Karanis	150±49
27288	Karanis	150±49
27677	Karanis	188±12
27121	Karanis	200±99
27546	Karanis	175±24
27818	Karanis	188±12
27480	Karanis	150±49
27484	Karanis	150±49
27289	Karanis	150±49
27482	Karanis	200±99
27123	Karanis	175±24
27292	Karanis	150±49
27386	Karanis	200±24
51670	Karanis	315±0
51530	Karanis	313±12
79222	Karanis	235±0
79226	Karanis	250±49
79218	Karanis	200±99
79223	Karanis	254±1
79217	Karanis	149±11
79227	Karanis	147±0
79221	Karanis	300±99
79230	Karanis	250±49
79229	Karanis	300±99
79220	Karanis	300±99
79225	Karanis	300±99
79228	Karanis	300±99
79219	Karanis	325±24
33109	Karanis	400±99
33111	Karanis	400±99
33095	Karanis	400±99
33103	Karanis	400±99
33100	Karanis	400±99
33109	Karanis	400±99
33350	Karanis	350±49
33351	Karanis	350±24
33096	Karanis	400±99
33113	Karanis	400±99
33527	Karanis	325±24
33093	Karanis	400±99
33098	Karanis	400±99
33526	Karanis	375±24
33102	Karanis	400±99
33097	Karanis	400±99
33528	Karanis	313±12
33108	Karanis	400±99
33106	Karanis	400±99
33112	Karanis	400±99
33107	Karanis	400±99
33099	Karanis	400±99
33101	Karanis	400±99
33104	Karanis	400±99
33094	Karanis	400±99
33105	Karanis	400±99
63941	Karanis	200±199
63858	Karanis	200±99
31631	Karanis	250±49
31417	Karanis	250±49
31425	Karanis	300±24
31234	Karanis	250±49
31103	Karanis	300±99
31104	Karanis	250±49
31547	Karanis	300±24
31548	Karanis	250±49
31630	Karanis	275±24
31557	Karanis	250±49
851604	Karanis	250±49
14704	Karanis	290+
110057	Karanis	200±99
14292	Karanis	315±0
382530	Karanis	119±0
10241	Karanis	175±0
10420	Karanis	308±0
10137	Karanis	39+
10426	Karanis	312±0
10419	Karanis	308±0
10417	Karanis	308±0
34040	Karanis	350±49
9571	Karanis	129±0
9645	Karanis	190±0
9349	Karanis	40±0
9166	Karanis	190+
13744	Karanis	104±0
41553	Karanis	250±49
41711	Karanis	350±49
30751	Karanis	300±99
30752	Karanis	300±99
11632	Karanis	88±0
29160	Karanis	150±49
29111	Karanis	150±49
29107	Karanis	150±49
29140	Karanis	150±49
29235	Karanis	150±49
29141	Karanis	150±49
29482	Karanis	150±49
29196	Karanis	150±49
29480	Karanis	200±24
1129	Karanis	-252±4
12803	Karanis	111±5
12314	Karanis	360±0
3293	Karanis	-221±0
43137	Karanis	250±49
14412	Karanis	160±0
14411	Karanis	152±0
14865	Karanis	176+
14410	Karanis	183±0
14542	Karanis	299±0
32129	Karanis	300±24
28320	Karanis	150±49
28067	Karanis	150±24
28145	Karanis	150±49
25954	Karanis	100±99
25233	Karanis	100±99
27527	Karanis	150±49
27106	Karanis	150±49
33744	Karanis	350±49
31190	Karanis	250±49
31926	Karanis	300±99
31638	Karanis	250±49
971907	Karanis	216±0
756891	Karanis	177±1
756893	Karanis	150±49
43209	Karanis (Arsinoites) bzw. Memphis	150±49
27291	Karanis (Arsinoites) bzw. Memphis	200±99
140678	Karanis bzw. Kerke (Arsinoites)	150±49
41713	Karanis bzw. Soknopaiu Nesos (Arsinoites)	143±11
397530	Karanis bzw. Thphois (Arsinoites)	148±0
696	Karien	-257±0
714	Karien	-257±0
40729	Karnak	null
74992	Karnak	200±199
33813	Karnak	500±199
73342	Karnak	191±0
73331	Karnak	63±0
30898	Karnak-Nord	250±49
30894	Karnak-Nord	250±49
30902	Karnak-Nord	250±49
30896	Karnak-Nord	250±49
30908	Karnak-Nord	250±49
30891	Karnak-Nord	250±49
30892	Karnak-Nord	250±49
30912	Karnak-Nord	250±49
30895	Karnak-Nord	250±49
30899	Karnak-Nord	250±49
30906	Karnak-Nord	250±49
30907	Karnak-Nord	250±49
30893	Karnak-Nord	250±49
30890	Karnak-Nord	250±49
30909	Karnak-Nord	250±49
30897	Karnak-Nord	250±49
30904	Karnak-Nord	250±49
30911	Karnak-Nord	250±49
30903	Karnak-Nord	250±49
30901	Karnak-Nord	250±49
30910	Karnak-Nord	250±49
30905	Karnak-Nord	250±49
30900	Karnak-Nord	250±49
37749	Karpe	700±99
23930	Karrhai	250±0
37644	Kasanupis	600±99
70169	Kasr el Banât	150±49
749353	Kellis	350±49
140730	Kellis	146±0
140733	Kellis	125±24
140729	Kellis	132±0
140732	Kellis	145±0
140734	Kellis	125±24
140735	Kellis	111±0
140731	Kellis	138±0
702580	Kellis	350±49
702582	Kellis	350±49
702567	Kellis	368±0
702576	Kellis	350±49
702578	Kellis	309±0
702568	Kellis	368+
702572	Kellis	342±2
702574	Kellis	220±0
702577	Kellis	339±0
702571	Kellis	337±0
702581	Kellis	313±12
702569	Kellis	327±2
702579	Kellis	350±49
702573	Kellis	201±0
702575	Kellis	213±12
78077	Kellis	300±99
78080	Kellis	350±49
78081	Kellis	367+
78079	Kellis	350±49
832709	Kellis	375±24
832706	Kellis	375±24
832711	Kellis	375±24
832712	Kellis	375±24
832708	Kellis	375±24
832713	Kellis	375±24
832704	Kellis	375±24
832707	Kellis	375±24
832705	Kellis	375±24
832710	Kellis	375±24
110138	Kellis	350±0
110137	Kellis	390±0
110140	Kellis	388±12
110139	Kellis	375±24
110136	Kellis	388±12
74585	Kellis	300±99
74820	Kellis	300±99
74759	Kellis	300±99
74582	Kellis	313±12
74803	Kellis	300±99
74557	Kellis	210±0
74717	Kellis	300±99
74612	Kellis	300±99
74548	Kellis	350±49
74584	Kellis	337±0
74628	Kellis	250±49
74645	Kellis	300±99
74632	Kellis	305±0
74713	Kellis	300±99
74822	Kellis	300±99
74754	Kellis	300±99
74686	Kellis	300±99
74741	Kellis	300±99
74532	Kellis	265±0
74746	Kellis	300±99
74606	Kellis	300±99
74591	Kellis	279±0
74626	Kellis	300±99
74782	Kellis	300±99
74705	Kellis	300±99
74733	Kellis	300±99
74530	Kellis	293±0
74693	Kellis	300±99
74801	Kellis	300±99
74744	Kellis	300±99
74809	Kellis	300±99
74807	Kellis	300±99
74727	Kellis	300±99
74720	Kellis	300±99
74761	Kellis	300±99
74804	Kellis	300±99
74816	Kellis	350±24
74718	Kellis	300±99
74788	Kellis	300±99
74638	Kellis	375±24
74560	Kellis	235±18
74712	Kellis	300±99
74743	Kellis	300±99
74697	Kellis	300±99
74798	Kellis	300±99
74765	Kellis	300±99
74639	Kellis	375±24
74683	Kellis	300±99
74799	Kellis	300±99
74709	Kellis	300±99
74682	Kellis	300±99
74737	Kellis	300±99
74634	Kellis	375±24
74722	Kellis	375±24
74797	Kellis	318±0
74617	Kellis	325±0
74758	Kellis	300±99
74707	Kellis	300±99
74736	Kellis	300±99
74526	Kellis	295±0
74589	Kellis	250±49
74753	Kellis	300±99
74667	Kellis	300±99
74701	Kellis	300±99
74787	Kellis	300±99
74748	Kellis	300±99
74531	Kellis	295±0
74811	Kellis	300±99
74528	Kellis	301±0
74738	Kellis	300±99
74714	Kellis	300±99
74721	Kellis	300±99
74538	Kellis	252±0
74793	Kellis	350±49
74673	Kellis	300±99
74622	Kellis	301±0
74662	Kellis	300±99
74668	Kellis	300±99
74775	Kellis	300±99
74708	Kellis	300±99
74579	Kellis	278±0
74651	Kellis	300±99
74549	Kellis	327±0
74795	Kellis	300±99
74750	Kellis	300±99
74602	Kellis	319±0
74633	Kellis	325±24
74576	Kellis	265±0
74777	Kellis	350±49
74796	Kellis	325±24
74719	Kellis	300±99
74625	Kellis	300±99
74594	Kellis	300±99
74619	Kellis	250±49
74525	Kellis	295±0
74684	Kellis	300±99
74588	Kellis	317±0
74590	Kellis	271±0
74567	Kellis	261±0
74533	Kellis	265±0
74790	Kellis	300±99
74554	Kellis	165±0
74649	Kellis	350±49
74553	Kellis	150±49
74656	Kellis	300±99
74569	Kellis	261±0
74613	Kellis	317±0
74550	Kellis	267±0
74568	Kellis	261±0
74695	Kellis	300±99
74616	Kellis	300±99
74657	Kellis	300±99
74669	Kellis	300±99
74611	Kellis	300±99
74802	Kellis	300±99
74605	Kellis	350±49
74789	Kellis	322±0
74764	Kellis	300±99
74615	Kellis	321±0
74700	Kellis	300±99
74578	Kellis	250±49
74529	Kellis	259±0
74652	Kellis	300±99
74767	Kellis	300±99
74687	Kellis	300±99
74555	Kellis	200±0
74778	Kellis	300±99
74637	Kellis	375±24
74679	Kellis	300±99
74598	Kellis	318±0
74766	Kellis	300±99
74607	Kellis	322±0
74600	Kellis	350±49
74786	Kellis	300±99
74614	Kellis	300±99
74610	Kellis	324±0
74635	Kellis	375±24
74670	Kellis	300±99
74539	Kellis	252±0
74680	Kellis	300±99
74774	Kellis	300±99
74535	Kellis	275±24
74677	Kellis	300±99
74542	Kellis	256±3
74752	Kellis	300±99
74776	Kellis	300±99
74676	Kellis	329±0
74692	Kellis	300±99
74806	Kellis	200±99
74641	Kellis	375±24
74818	Kellis	300±99
74592	Kellis	271±0
74604	Kellis	350±49
74724	Kellis	375±24
74595	Kellis	250±49
74703	Kellis	300±99
74760	Kellis	300±99
74780	Kellis	300±99
74690	Kellis	300±99
74631	Kellis	263±62
74817	Kellis	322±0
74808	Kellis	300±99
74527	Kellis	295±0
74627	Kellis	300±99
74544	Kellis	350±49
74546	Kellis	275±24
74558	Kellis	200±99
74540	Kellis	250±49
74773	Kellis	300±99
74663	Kellis	300±99
74749	Kellis	300±99
74691	Kellis	300±99
74685	Kellis	300±99
74572	Kellis	263±0
74716	Kellis	300±99
74792	Kellis	350±49
74571	Kellis	260±1
74648	Kellis	300±24
74730	Kellis	300±99
74821	Kellis	300±99
74819	Kellis	300±99
74675	Kellis	263±62
74596	Kellis	321±0
74784	Kellis	300±99
74805	Kellis	300±99
74779	Kellis	300±99
74800	Kellis	300±99
74642	Kellis	300±99
74689	Kellis	300±99
74563	Kellis	239±18
74650	Kellis	300±99
74629	Kellis	250±24
74647	Kellis	350±49
74751	Kellis	300±99
74661	Kellis	300±99
74698	Kellis	300±99
74688	Kellis	300±99
74771	Kellis	300±99
74620	Kellis	300±99
74770	Kellis	300±99
74726	Kellis	300±99
74710	Kellis	300±99
74601	Kellis	318±0
74732	Kellis	300±99
74704	Kellis	300±99
74646	Kellis	350±49
74823	Kellis	300±99
74561	Kellis	238±18
74587	Kellis	258±1
74603	Kellis	350±49
74536	Kellis	275±24
74564	Kellis	242±16
74664	Kellis	300±99
74654	Kellis	300±99
74715	Kellis	300±99
74534	Kellis	254±0
74745	Kellis	300±99
74643	Kellis	350±49
74678	Kellis	375±24
74660	Kellis	300±99
74583	Kellis	338±0
74772	Kellis	300±99
74810	Kellis	300±99
74739	Kellis	300±99
74815	Kellis	300±99
74659	Kellis	300±99
74756	Kellis	300±99
74725	Kellis	300±99
74574	Kellis	236±24
74740	Kellis	350±49
74552	Kellis	135±0
74623	Kellis	300±99
74742	Kellis	300±99
74672	Kellis	350±49
74813	Kellis	300±99
74581	Kellis	296±0
74644	Kellis	300±99
74757	Kellis	300±99
74630	Kellis	263±62
74545	Kellis	299±0
74541	Kellis	256±3
74769	Kellis	300±99
74537	Kellis	275±24
74621	Kellis	300±99
74763	Kellis	300±99
74699	Kellis	300±99
74781	Kellis	300±99
74593	Kellis	276±0
74586	Kellis	300±99
74696	Kellis	300±99
74814	Kellis	300±99
74573	Kellis	266±0
74597	Kellis	319±0
74702	Kellis	300±99
74608	Kellis	320±0
74711	Kellis	300±99
74640	Kellis	375±24
74794	Kellis	350±49
74556	Kellis	159±21
74575	Kellis	236±24
74577	Kellis	279±0
74674	Kellis	294±0
74694	Kellis	300±99
74543	Kellis	263±62
74580	Kellis	313±12
74658	Kellis	300±99
74665	Kellis	300±99
74791	Kellis	300±99
74723	Kellis	300±99
74812	Kellis	300±99
74747	Kellis	300±99
74599	Kellis	318±0
74762	Kellis	300±99
74671	Kellis	350±49
74755	Kellis	300±99
74559	Kellis	200±99
74551	Kellis	275±24
74785	Kellis	300±99
74566	Kellis	261±0
74666	Kellis	375±24
74562	Kellis	239±18
74609	Kellis	328±0
74624	Kellis	300±99
74706	Kellis	300±99
74728	Kellis	300±99
74729	Kellis	300±99
74565	Kellis	259±0
74655	Kellis	300±99
74768	Kellis	250±49
74783	Kellis	300±99
74731	Kellis	300±99
74618	Kellis	300±99
74653	Kellis	300±99
74735	Kellis	300±99
74681	Kellis	300±99
74636	Kellis	375±24
74547	Kellis	275±24
74570	Kellis	260±1
74734	Kellis	300±99
97331	Kellis	388+
97197	Kellis	332+
97332	Kellis	392±0
97196	Kellis	364+
20295	Kellis	369±0
20304	Kellis	364±0
20278	Kellis	335±0
20285	Kellis	310±10
20275	Kellis	362±0
20289	Kellis	352±0
20307	Kellis	382±0
20294	Kellis	364±0
20276	Kellis	383±0
20302	Kellis	306±0
20305	Kellis	387±0
20281	Kellis	350±0
20284	Kellis	299±0
20309	Kellis	355±0
20292	Kellis	363±0
20310	Kellis	304±0
20317	Kellis	328±0
20291	Kellis	331±0
20293	Kellis	306±0
20283	Kellis	298±5
20314	Kellis	324±0
20273	Kellis	301±0
20296	Kellis	315±0
20274	Kellis	331±0
20315	Kellis	332±0
20298	Kellis	320±0
20290	Kellis	389±0
20282	Kellis	299±0
20318	Kellis	275±0
20287	Kellis	324±0
20303	Kellis	310±0
20297	Kellis	308±0
20308	Kellis	386±0
20300	Kellis	333±0
20272	Kellis	293±0
20316	Kellis	337±0
20301	Kellis	333±0
20286	Kellis	321±0
20280	Kellis	357±0
20279	Kellis	356±0
20311	Kellis	353±0
20288	Kellis	353±0
23651	Kellis	362±1
23711	Kellis	383±0
85886	Kellis	350±49
